provision_id                      rank  score  determinacy
sfs-2026-1283:K8P5                323   10.0   unmarked   
sfs-1982-80:P12                   324   10.0   unmarked   
sfs-2026-786:K10P5                325   10.0   unmarked   
sfs-2026-1283:K6P2                326   10.0   unmarked   
sfs-2026-1054:P12                 327   10.0   unmarked   
sfs-2026-806:P12                  328   10.0   unmarked   
sfs-1982-80:P21                   329   10.0   unmarked   
sfs-2026-1011:K4P3                330   10.0   unmarked   
sfs-2026-585:P13                  331   10.0   unmarked   
sfs-2026-1281:K9P27               332   10.0   unmarked   
sfs-2026-1283:K4P10               333   10.0   unmarked   
sfs-2026-1011:K9P3                334   10.0   unmarked   
sfs-2026-999:K2P1                 335   10.0   unmarked   
sfs-2026-786:K5P4                 336   10.0   unmarked   
sfs-2026-578:P14                  337   10.0   unmarked   
sfs-2026-1281:K12P13              338   10.0   vague      
sfs-2026-1283:K2P4                339   10.0   unmarked   
sfs-2026-999:K6P1a                340   10.0   unmarked   
sfs-1982-80:overgang:2022-448     341   10.0   unmarked   
sfs-2026-408:K15P6                342   10.0   unmarked   
sfs-2008-567:K2P4                 343   10.0   unmarked   
sfs-2026-408:K5P13                344   10.0   unmarked   
sfs-2026-786:K10P9                345   10.0   unmarked   
sfs-2026-1281:K18P7               346   10.0   unmarked   
sfs-2026-1281:K5P5                347   10.0   unmarked   
sfs-2026-1255:P1                  348   10.0   unmarked   
sfs-2026-1281:K14P24              349   10.0   unmarked   
sfs-2026-806:P15                  350   10.0   unmarked   
sfs-2026-786:K10P2                351   10.0   vague      
sfs-2026-772:K4P3                 352   10.0   unmarked   
sfs-2026-999:K1P10                353   10.0   unmarked   
sfs-1976-580:P44                  354   10.0   unmarked   
sfs-2026-843:P6                   355   10.0   unmarked   
sfs-2026-408:K9P11                356   10.0   vague      
sfs-2026-999:K1P10:occurrence:2   357   10.0   unmarked   
sfs-1982-80:P36                   358   10.0   unmarked   
sfs-2026-772:K1P6:occurrence:2    359   10.0   unmarked   
sfs-2026-843:P6:occurrence:2      360   10.0   unmarked   
sfs-1977-480:P7                   361   10.0   unmarked   
sfs-1982-80:P16                   362   10.0   vague      
sfs-1982-80:P25a                  363   10.0   unmarked   
sfs-2008-567:K3P9                 364   10.0   unmarked   
sfs-2026-1011:K4P20               365   10.0   unmarked   
sfs-2026-1113:P12                 366   10.0   unmarked   
sfs-2026-999:overgang:2026-999    367   10.0   unmarked   
sfs-2026-871:P7                   368   10.0   unmarked   
sfs-2026-310:P12                  369   10.0   unmarked   
sfs-2008-567:K4P5                 370   10.0   unmarked   
sfs-1977-480:P10                  371   10.0   unmarked   
sfs-1976-580:P4                   372   10.0   unmarked   
sfs-2026-1326:P6                  373   10.0   specific   
sfs-1982-80:P4                    374   10.0   unmarked   
sfs-1976-580:P41d                 375   10.0   unmarked   
sfs-2026-408:K20P5                376   9.0    unmarked   
sfs-1976-580:P54                  377   9.0    unmarked   
sfs-1976-580:overgang:2019-503    378   9.0    unmarked   
sfs-2026-310:P21                  379   9.0    unmarked   
sfs-2026-956:P10                  380   9.0    unmarked   
sfs-2026-956:P5                   381   9.0    unmarked   
sfs-2026-956:P11                  382   9.0    unmarked   
sfs-2026-772:K3P6                 383   9.0    unmarked   
sfs-2026-485:P7                   384   9.0    unmarked   
sfs-2026-408:K20P22               385   9.0    unmarked   
sfs-2026-484:K4P3                 386   9.0    unmarked   
sfs-2026-484:K2P5                 387   9.0    unmarked   
sfs-2026-380:P6                   388   9.0    unmarked   
sfs-2026-310:P10                  389   9.0    unmarked   
sfs-2026-440:K7P4                 390   9.0    unmarked   
sfs-1982-673:P17                  391   9.0    unmarked   
sfs-2026-1281:K16P6               392   9.0    unmarked   
sfs-2026-1113:P16                 393   9.0    unmarked   
sfs-2026-1379:P5                  394   9.0    unmarked   
sfs-2026-999:K1P11                395   9.0    unmarked   
sfs-2026-1200:P2                  396   9.0    unmarked   
sfs-2026-408:K15P5                397   9.0    unmarked   
sfs-2026-1281:K17P1               398   9.0    unmarked   
sfs-2026-1011:K8P7                399   9.0    unmarked   
sfs-2026-999:K1P9                 400   9.0    unmarked   
sfs-2026-999:K1P11:occurrence:2   401   9.0    unmarked   
sfs-1976-580:P62                  402   9.0    unmarked   
sfs-2026-999:K1P9:occurrence:2    403   9.0    unmarked   
sfs-2026-440:K4P6                 404   9.0    unmarked   
sfs-2026-440:K4P5                 405   9.0    unmarked   
sfs-2026-1358:K2P12               406   9.0    unmarked   
sfs-2026-1281:K14P6               407   9.0    unmarked   
sfs-2026-1281:K4P21               408   9.0    unmarked   
sfs-2026-806:P17                  409   9.0    unmarked   
sfs-1976-580:P41b                 410   9.0    unmarked   
sfs-2026-1011:K4P5                411   9.0    unmarked   
sfs-1982-80:P41                   412   9.0    specific   
sfs-2026-1011:K8P15               413   9.0    vague      
sfs-1982-673:P26                  414   9.0    unmarked   
sfs-2026-1011:K7P3                415   9.0    vague      
sfs-2026-1281:K14P12              416   9.0    unmarked   
sfs-2026-1281:K12P14              417   9.0    unmarked   
sfs-2026-310:P4                   418   9.0    vague      
sfs-2026-578:P4                   419   9.0    unmarked   
sfs-2026-1011:K8P10               420   9.0    unmarked   
sfs-2026-1011:K8P21               421   8.0    unmarked   
sfs-2026-1011:K8P9                422   8.0    unmarked   
sfs-2026-956:P3                   423   8.0    unmarked   
sfs-2026-585:P8                   424   8.0    unmarked   
sfs-2008-567:K3P12                425   8.0    unmarked   
sfs-1982-673:P7                   426   8.0    unmarked   
sfs-2026-983:P23                  427   8.0    unmarked   
sfs-1995-584:P2                   428   8.0    unmarked   
sfs-2026-408:overgang:2026-408    429   8.0    vague      
sfs-2026-408:K16P2                430   8.0    unmarked   
sfs-1982-80:P6d                   431   8.0    vague      
sfs-2026-1011:K3P1                432   8.0    unmarked   
sfs-2026-1011:K7P9                433   7.0    unmarked   
sfs-2026-871:P8                   434   7.0    unmarked   
sfs-2026-1281:K9P11               435   7.0    vague      
sfs-2026-1011:K6P3                436   7.0    unmarked   
sfs-1976-580:P33                  437   7.0    unmarked   
sfs-1977-480:P16b                 438   7.0    unmarked   
sfs-2026-1459:P9                  439   7.0    unmarked   
sfs-2026-585:P4                   440   7.0    unmarked   
sfs-2026-843:P12                  441   7.0    vague      
sfs-2008-567:K4P18                442   7.0    unmarked   
sfs-1977-480:P31                  443   7.0    unmarked   
sfs-2008-567:K1P4                 444   7.0    vague      
sfs-2026-1281:K19P10              445   6.0    unmarked   
sfs-1977-480:P12b                 446   6.0    unmarked   
sfs-2026-1459:P10                 447   6.0    unmarked   
sfs-2026-1011:K8P1                448   6.0    unmarked   
sfs-2026-1281:K19P12              449   5.0    unmarked   
sfs-2026-1281:K20P2               450   5.0    unmarked   
sfs-2026-1283:K12P2               451   5.0    unmarked   
sfs-2026-1201:P12                 452   5.0    unmarked   
sfs-2026-601:P11                  453   5.0    unmarked   
sfs-2026-956:P13                  454   5.0    unmarked   
sfs-2026-1281:K7P6                455   5.0    unmarked   
sfs-2026-1281:K12P22              456   5.0    unmarked   
sfs-2026-1281:K6P14               457   5.0    unmarked   
sfs-2026-956:P12                  458   5.0    unmarked   
sfs-2026-1283:K6P7                459   5.0    unmarked   
sfs-2026-1459:P5                  460   5.0    unmarked   

460 row(s)
