provision_id                           rank  score  determinacy
sfs-2015-485:K3P4                      406   16.0   specific   
sfs-2016-1024:K4P10:occurrence:2       407   16.0   unmarked   
sfs-2024-945:K4P16                     408   16.0   specific   
sfs-2015-1016:K4P6                     409   16.0   specific   
sfs-2015-96:K4P6                       410   16.0   specific   
sfs-2022-482:K7P12                     411   16.0   specific   
sfs-2023-875:K8P6a                     412   16.0   unmarked   
sfs-1976-580:P45                       413   16.0   specific   
sfs-2018-672:K16P42                    414   16.0   specific   
sfs-2018-1653:K3P2                     415   16.0   specific   
sfs-2026-1011:K8P20                    416   16.0   specific   
sfs-2022-260:K9P19                     417   16.0   specific   
sfs-2018-1653:K7P4                     418   16.0   specific   
sfs-2026-1011:K8P28                    419   16.0   specific   
sfs-2015-911:K4P7                      420   16.0   specific   
sfs-2024-506:K3P15                     421   16.0   specific   
sfs-2015-315:overgang:2015-315         422   16.0   specific   
sfs-2015-1016:K2P2                     423   16.0   specific   
sfs-1982-80:overgang:2022-835          424   16.0   specific   
sfs-2014-421:P4                        425   16.0   specific   
sfs-2015-62:K4P5                       426   16.0   specific   
sfs-1982-80:P6c                        427   16.0   specific   
sfs-2017-30:K7P3b                      428   15.0   specific   
sfs-2026-723:P9                        429   15.0   specific   
sfs-2016-1145:K11P2                    430   15.0   specific   
sfs-2017-310:P19                       431   15.0   vague      
sfs-2014-968:K1aP13                    432   15.0   specific   
sfs-2021-34:P3                         433   15.0   specific   
sfs-2016-1146:K11P2                    434   15.0   specific   
sfs-2016-675:P8                        435   15.0   unmarked   
sfs-1982-673:P23                       436   15.0   specific   
sfs-2018-672:K11P8                     437   15.0   specific   
sfs-2021-516:K4P13                     438   15.0   specific   
sfs-2018-1219:K9P20                    439   15.0   specific   
sfs-2016-417:P16                       440   15.0   unmarked   
sfs-2023-714:K7P18                     441   15.0   specific   
sfs-2016-1013:P14                      442   15.0   unmarked   
sfs-2017-630:K7P20                     443   15.0   specific   
sfs-2021-401:K4P7                      444   15.0   unmarked   
sfs-2021-1070:P22                      445   15.0   unmarked   
sfs-2015-632:P4                        446   15.0   unmarked   
sfs-2023-38:K1P4                       447   15.0   specific   
sfs-2018-1694:K4P6a                    448   15.0   specific   
sfs-2025-1506:K2P2                     449   15.0   specific   
sfs-2022-260:K4P17                     450   15.0   specific   
sfs-2018-673:P25                       451   15.0   specific   
sfs-2018-1693:K5P12                    452   15.0   specific   
sfs-2026-1358:K1P10                    453   15.0   specific   
sfs-2026-786:K10P20                    454   15.0   specific   
sfs-2017-527:P12                       455   15.0   specific   
sfs-2026-772:K3P5                      456   15.0   vague      
sfs-2024-710:K5P15                     457   15.0   specific   
sfs-2016-1117:P8                       458   15.0   specific   
sfs-2023-200:K15P20                    459   15.0   unmarked   
sfs-2017-612:K5P4                      460   15.0   specific   
sfs-2023-200:K18P30                    461   15.0   specific   
sfs-2023-38:K5P11                      462   15.0   unmarked   
sfs-2016-676:P36                       463   15.0   specific   
sfs-2016-38:P4                         464   15.0   specific   
sfs-2016-675:P38                       465   15.0   unmarked   
sfs-2016-752:P12                       466   15.0   specific   
sfs-2014-912:P15                       467   15.0   unmarked   
sfs-2022-155:K3P12                     468   15.0   specific   
sfs-2022-156:K3P13                     469   15.0   specific   
sfs-2016-1146:K11P7                    470   15.0   specific   
sfs-2017-725:K6P34                     471   15.0   specific   
sfs-2017-725:K10P1                     472   15.0   unmarked   
sfs-2026-408:K5P16                     473   15.0   unmarked   
sfs-2026-408:K8P7                      474   15.0   specific   
sfs-2019-601:K4P5                      475   15.0   specific   
sfs-2023-875:K1P8                      476   15.0   specific   
sfs-2024-945:K15P14                    477   15.0   unmarked   
sfs-2025-606:P19                       478   15.0   specific   
sfs-2025-400:K12P7d                    479   15.0   vague      
sfs-2016-752:P15                       480   15.0   specific   
sfs-2025-520:K3P15                     481   15.0   unmarked   
sfs-2023-730:P28                       482   15.0   unmarked   
sfs-2016-526:P19                       483   15.0   specific   
sfs-2022-260:K5P6                      484   15.0   unmarked   
sfs-2018-585:K3P15                     485   15.0   unmarked   
sfs-2022-365:K9P3                      486   15.0   specific   
sfs-2023-200:K12P18                    487   15.0   unmarked   
sfs-2014-968:K1aP29                    488   15.0   specific   
sfs-2018-1653:K5P11                    489   15.0   unmarked   
sfs-2016-675:P34                       490   15.0   specific   
sfs-2024-7:P12                         491   15.0   specific   
sfs-2025-760:P11                       492   15.0   specific   
sfs-2016-1145:K11P7                    493   15.0   specific   
sfs-2026-786:K4P4                      494   15.0   specific   
sfs-2018-672:K4P7                      495   15.0   specific   
sfs-2026-1113:P10                      496   15.0   specific   
sfs-2022-964:K3P9                      497   15.0   specific   
sfs-2018-568:P7                        498   15.0   specific   
sfs-2022-482:K12P5                     499   15.0   specific   
sfs-2026-1281:K11P19                   500   15.0   unmarked   
sfs-2022-1568:K12P5                    501   15.0   specific   
sfs-2026-786:K5P3                      502   15.0   unmarked   
sfs-2026-1600:K5P1                     503   15.0   specific   
sfs-2016-1013:P5                       504   15.0   specific   
sfs-2017-807:P3                        505   15.0   specific   
sfs-2026-772:K5P1                      506   15.0   unmarked   
sfs-2021-423:P5                        507   15.0   specific   
sfs-2022-1011:P6                       508   15.0   specific   
sfs-2022-1657:P11                      509   15.0   specific   
sfs-2026-843:P16                       510   15.0   specific   
sfs-2019-234:K4P2                      511   15.0   unmarked   
sfs-2019-234:K5P4                      512   15.0   unmarked   
sfs-2016-429:P18                       513   15.0   specific   
sfs-2021-1070:P11                      514   15.0   unmarked   
sfs-2026-1600:K13P10                   515   15.0   specific   
sfs-2022-1681:K6P13                    516   15.0   specific   
sfs-1977-480:P14                       517   15.0   specific   
sfs-2025-400:K22P7                     518   15.0   specific   
sfs-2018-1177:K6P8                     519   15.0   specific   
sfs-2021-553:P15                       520   15.0   specific   
sfs-2015-1016:K3P5                     521   15.0   specific   
sfs-2018-672:K11P2                     522   15.0   unmarked   
sfs-2024-710:K8P21                     523   15.0   vague      
sfs-1982-80:P7b                        524   15.0   specific   
sfs-2026-1600:K12P10                   525   15.0   specific   
sfs-2014-1020:P16                      526   15.0   specific   
sfs-2021-579:P24                       527   15.0   specific   
sfs-2025-1506:K2P5                     528   15.0   specific   
sfs-2019-109:overgang:2019-109         529   15.0   specific   
sfs-2025-1377:K7P14                    530   15.0   specific   
sfs-2015-417:K3P8                      531   15.0   unmarked   
sfs-2018-1174:P35                      532   15.0   specific   
sfs-2021-642:overgang:2021-642         533   15.0   specific   
sfs-1995-584:P20                       534   15.0   vague      
sfs-2015-96:K3P16                      535   15.0   unmarked   
sfs-2019-370:P16                       536   15.0   specific   
sfs-2017-631:K2P4                      537   15.0   specific   
sfs-2021-77:P2                         538   15.0   specific   
sfs-2023-875:K1P7                      539   15.0   unmarked   
sfs-2024-461:P7                        540   15.0   unmarked   
sfs-2026-1600:K6P4                     541   15.0   specific   
sfs-2019-234:K3P15                     542   15.0   unmarked   
sfs-2018-585:K7P9                      543   15.0   specific   
sfs-2023-875:K4P12e                    544   15.0   specific   
sfs-2026-956:P2                        545   15.0   specific   
sfs-2017-612:overgang:2017-612         546   15.0   specific   
sfs-2018-585:K4P7                      547   15.0   vague      
